# ./0xBuilder/linear_regression/training_data.csv
timestamp,symbol,price_usd,market_cap,volume_24h,percent_change_24h,total_supply,circulating_supply,volatility,liquidity_ratio,avg_transaction_value,trading_pairs,exchange_count,price_momentum,buy_sell_ratio,smart_money_flow
1737308400,BTC,106124.00,2100392754878,70939406253,1.2,21000000,19000000,0.045,0.88,25.00,1500,400,0.60,1.2,0.95
1737308400,ETH,3386.52,408393020243,32327860181,4.5,123456789,120345678,0.038,0.82,12.50,550,160,0.65,1.15,0.78
1737308400,XRP,3.15,181558371340,7015696928,1.4,100000000000,45678901234,0.032,0.85,8.75,450,120,0.55,1.12,0.82
1737308400,USDT,1.00,138963560603,60258824202,0.0,80000000000,78234567890,0.002,0.96,18.90,700,180,0.15,1.0,0.99
1737308400,SOL,263.01,127783567396,10248772178,5.3,123456789,120345678,0.042,0.80,10.25,420,115,0.58,1.18,0.75
1737308400,BNB,685.34,99938699122,906704066,0.1,200000000,165432123,0.035,0.84,9.50,380,105,0.52,1.14,0.72
1737308400,DOGE,0.3591,53013618215,2592444989,2.2,130000000000,123456789012,0.038,0.79,3.45,290,85,0.48,1.08,0.68
1737308400,USDC,1.00,52190366758,16336839744,0.0,100000000000,52190366758,0.003,0.95,16.78,650,170,0.14,1.01,0.98
1737308400,ADA,0.9903,35480347195,1049393363,0.5,45000000000,43210987654,0.036,0.77,5.67,320,90,0.42,1.06,0.70
1737308400,WBTC,105983.00,13689482000,855852582,0.9,21000000,129169,0.044,0.87,24.50,280,75,0.59,1.19,0.94
1737308400,WETH,3389.55,9987079323,1838338270,4.4,123456789,2945881,0.037,0.81,11.90,320,85,0.63,1.14,0.77
1737308400,PEPE,0.00001569,6578152308,1280926252,4.5,1000000000000,420000000000,0.052,0.75,2.34,180,50,0.45,1.10,0.65
1737308400,AAVE,351.09,5275951500,684542669,5.1,16000000,15027723,0.040,0.83,13.45,340,95,0.56,1.16,0.73
1737308400,UNI,12.83,7692326827,280600684,0.7,1000000000,599529091,0.039,0.78,8.90,310,88,0.51,1.11,0.71
1737308400,LINK,25.92,16515466471,1191720995,1.6,1000000000,637409302,0.037,0.80,7.80,330,92,0.54,1.13,0.74
1737308400,MATIC,1.23,7890123456,5678901,0.9,10000000000,1234567890,0.025,0.84,3.21,234,78,0.33,1.04,0.61
1737308400,ATOM,23.45,8901234567,678901,1.2,100000000,12345678,0.026,0.83,6.78,123,67,0.27,1.10,0.69
1737308400,AVAX,45.67,9012345678,78901,1.5,72000000,12345678,0.027,0.81,8.76,456,99,0.47,1.13,0.71
1737308400,FTT,56.78,1234567890,8901,1.7,100000000,12345678,0.024,0.86,10.98,567,134,0.55,1.16,0.73
1737308400,ALGO,12.34,2345678901,1234,1.0,1000000000,123456789,0.022,0.87,4.32,345,90,0.39,1.14,0.74
1737308400,TRX,0.89,3456789012,2345,1.3,100000000000,12345678901,0.021,0.88,2.10,234,68,0.31,1.17,0.76
1737308400,NEO,23.45,4567890123,3456,1.1,100000000,12345678,0.020,0.89,5.43,123,45,0.25,1.18,0.78
1737308400,XTZ,12.34,5678901234,4567,1.4,1000000000,123456789,0.019,0.90,3.54,345,78,0.43,1.19,0.80
